full_title,society_name,rent,area_sqft,furnishing,apartment_type,preferred_tenants,link
3 BHK Flat In Green Arch Saviour for Rent  In Saviour Greenarch Noida Extension,,13000,1560,Fully Furnished,3 BHK,Female,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-saviour-greenarch-noida-extension-greater_noida-for-rs-13000/8a9fb0849873e52a0198741c369f1b33/detail
3 BHK Apartment In Radicon Vedantam for Rent  In Radicon Vedantam,Radicon Vedantam,10000,1200,Fully Furnished,3 BHK,Female,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-radicon-vedantam-greater_noida-for-rs-10000/8aa9937b9bc9e800019bca2a83030e39/detail
2 BHK Apartment In Ska Metro Ville for Rent  In Rasoolpur Rai,SKA Metro ville,26000,1000,Fully Furnished,2 BHK,Female,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-rasoolpur-rai-greater_noida-for-rs-26000/8a9f908396677819019667d1e3bb20ec/detail
1 RK Apartment In Town White Orchid for Rent  In Chipyana Khurd Urf,Town White Orchid,15000,900,Fully Furnished,1 RK,Female,https://www.nobroker.in/property/1-rk-apartment-for-rent-in-chipyana-khurd-urf-greater_noida-for-rs-15000/8a9f8a8499d4a8630199d4d36c220345/detail
2 BHK Apartment In Onyx County for Rent  In Onyx County,Onyx County,15000,950,Fully Furnished,2 BHK,Female,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-onyx-county-greater_noida-for-rs-15000/8a9fa4838ba8d8f7018baab8e1662593/detail
"3 BHK Apartment In Unitech Habitat, Sector Pi I & Ii for Rent  In Depot Station","Unitech Habitat, Sector Pi I & II",35000,2100,Fully Furnished,3 BHK,"Family, Bachelor",https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-depot-station-greater_noida-for-rs-35000/8aa9b2669c64d4ad019c64e0c928038a/detail
3 BHK Apartment In Krystal Supremus for Rent  In Sector 1,Krystal Supremus,30000,1550,Fully Furnished,3 BHK,"Family, Bachelor",https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-sector-1-greater_noida-for-rs-30000/8a9f878696fbfaf00196fc4ac62d212d/detail
"1 RK Apartment In Paramount Golfmart for Rent  In Paramount Golfmart Zeta I, Greater Noida, Uttar Pradesh 201310",Paramount Golfmart,20000,435,Fully Furnished,1 RK,"Family, Bachelor",https://www.nobroker.in/property/1-rk-apartment-for-rent-in-paramount-golfmart-zeta-i-greater-noida-uttar-pradesh-201310-greater_noida-for-rs-20000/8aa9b2489bf31b02019bf3261c760177/detail
"3 BHK Apartment In Radhika Residency for Rent  In Radhika Homes, Shahberi",Radhika Residency,13000,1227,,3 BHK,"Male, Family",https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-radhika-homes-shahberi-greater_noida-for-rs-13000/8a9fb3827a24614e017a2470eddf079e/detail
3 BHK Apartment In Avj Platinum for Rent  In Gn Sector Zeta I,AVJ Platinum,26000,1450,,3 BHK,"Female, Family",https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-gn-sector-zeta-i-greater_noida-for-rs-26000/8aa9b9cb9c469393019c46f137c129e8/detail
3 BHK Apartment In La Residentia for Rent  In Techzone 4,La Residentia,25000,1200,,3 BHK,"Female, Family",https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-techzone-4-greater_noida-for-rs-25000/8aa9b9e29c2bc0fe019c2cad42d16294/detail
"2 BHK Flat In Gaur City 7th Avenue for Rent  In Gaur City 7th Avenue, Greater Noida W Rd, Near Gaur Chowk, Gaur City 1, Sector 4, Ghaziabad, Uttar Pradesh 201009, India",,23000,1200,,2 BHK,"Female, Family, Company",https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-gaur-city-7th-avenue-greater-noida-w-rd-near-gaur-chowk-gaur-city-1-sector-4-ghaziabad-uttar-pradesh-201009-india-greater_noida-for-rs-23000/8a9faf849411ad49019411f199711a5c/detail
2 BHK Apartment In Capital Athena for Rent  In Sector 1 Greater Noida West,Capital Athena,22000,1075,,2 BHK,"Female, Family, Company",https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-sector-1-greater-noida-west-greater_noida-for-rs-22000/8aa988a59c028df9019c037a398259ee/detail
1 BHK Apartment In  Sree Ram Apartment for Rent  In Vaidpura,Sree Ram Apartment,6500,320,,1 BHK,"Female, Family",https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-vaidpura-greater_noida-for-rs-6500/8aa9984f9962133b0199625d985a193c/detail
2 BHK Flat In River View for Rent  In Amrapali River View,,18500,955,,2 BHK,"Female, Family, Company",https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-amrapali-river-view-noida-for-rs-18500/8a9fb0839a67dbc5019a68177a9819ea/detail
"2 BHK Flat In 16th Parkview , Gaur Yamuna City for Rent  In Yamuna Expy, Greater Noida, Uttar Pradesh 201312, India",,19000,1115,,2 BHK,"Female, Family, Company",https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-yamuna-expy-greater-noida-uttar-pradesh-201312-india-greater_noida-for-rs-19000/8aa988aa9bd0212c019bd0f2758e6871/detail
"3 BHK Apartment In Gaursons 7th Avenue for Rent  In Kishan Chowk, Gh - 16c, Gaur City 1, Sector 4, Greater Noida, Ghaziabad, Uttar Pradesh 201318, India",Gaursons 7th Avenue,30000,1350,,3 BHK,"Female, Family, Company",https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-kishan-chowk-gh---16c-gaur-city-1-sector-4-greater-noida-ghaziabad-uttar-pradesh-201318-india-noida-for-rs-30000/8a9f99838baf21b9018bb2e6f70f2b82/detail
"3 BHK Apartment In Nirala Estate for Rent  In Tech Zone Iv, Gh-04, Patwari, Greater Noida, Uttar Pradesh 201306, India",Nirala Estate,38000,1000,,3 BHK,"Female, Family, Company",https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-tech-zone-iv-gh-04-patwari-greater-noida-uttar-pradesh-201306-india-noida-for-rs-38000/8aa9a9f39bb02833019bb0d13b2a360b/detail
3 BHK Flat In Senior Citizen Home Complex for Rent  In Sector Pi I & Ii,,25000,1358,,3 BHK,"Female, Family, Company",https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-sector-pi-i-%26-ii-greater_noida-for-rs-25000/8a9f8a438d129fcf018d12bc88330cf8/detail
3 BHK Apartment In Purvanchal Royal City for Rent  In Sector Chi V,Purvanchal Royal City,35000,1735,,3 BHK,"Female, Family",https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-sector-chi-v-greater_noida-for-rs-35000/8a9fb483949cb43401949cec9f061645/detail
"2 BHK Apartment In Amrapali Smart City, Sector 2 for Rent  In Sector 2","Amrapali Smart City, Sector 2",25000,945,Fully Furnished,2 BHK,Bachelor,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-sector-2-greater_noida-for-rs-25000/8aa9b7ce9c337a5f019c33cf6ad5112e/detail
4 BHK Flat In Migsun Villasa for Rent  In Migsun Vilaasa,,55000,2000,Fully Furnished,4 BHK,"Company, Bachelor",https://www.nobroker.in/property/4-bhk-apartment-for-rent-in-migsun-vilaasa-noida-for-rs-55000/8aa9af839bfad48d019bfb6f2b7a2203/detail
1 RK Flat In Tugalpur  for Rent  In Tugalpur,,6000,133,,1 RK,Male,https://www.nobroker.in/property/1-rk-apartment-for-rent-in-tugalpur-greater_noida-for-rs-6000/8a9fac8594611506019461280b8700e1/detail
"2 BHK Apartment In Migsun Vilaasa for Rent  In Eta Ii, Greater Noida",Migsun Vilaasa,16000,660,,2 BHK,Male,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-eta-ii-greater-noida-greater_noida-for-rs-16000/8a9f868494da13220194da2844d407d4/detail
2 BHK Flat In Standalone Building  for Rent  In Omicron Ii,,10000,350,,2 BHK,Male,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-omicron-ii-greater_noida-for-rs-10000/8a9f9a859769024c019769363a801460/detail
3 BHK Flat In Patel Neotown for Rent  In Techzone-4 Noida Extension Greater Noida West,,6500,1280,Fully Furnished,3 BHK,"Company, Bachelor",https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-techzone-4-noida-extension-greater-noida-west-greater_noida-for-rs-6500/8aa985849c0a4766019c0ab3079a1e76/detail
2 BHK Flat In Standalone Building  for Rent  In Sector Alpha Ii,,16000,800,,2 BHK,Male,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-sector-alpha-ii-greater_noida-for-rs-16000/8a9fa784983c1bc201983c88eff02d4b/detail
2 BHK Apartment In Ajnara Home for Rent  In Ajnara Homes,ajnara home,9000,900,,2 BHK,Male,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-ajnara-homes-greater_noida-for-rs-9000/8a9f8783954a829c01954aa1c4e80530/detail
2 BHK Apartment In Paramount Emotions  for Rent  In Sector 1,Paramount Emotions,12500,800,,2 BHK,Male,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-sector-1-noida-for-rs-12500/8aa9a92c9c269a9a019c26f2edf61606/detail
1 BHK Flat In Paramount Emotions for Rent  In Bisrakh Jalalpur,,10000,800,,1 BHK,Male,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-bisrakh-jalalpur-greater_noida-for-rs-10000/8a9fb8839a436115019a43c383873031/detail
2 BHK Apartment In Oasis Grandstand for Rent  In Oasis Grandstand Phase 2,Oasis GrandStand,15000,845,,2 BHK,Male,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-oasis-grandstand-phase-2-greater_noida-for-rs-15000/8a9fa983945953c90194597e7a5b117c/detail
