full_title,society_name,rent,area_sqft,furnishing,apartment_type,preferred_tenants,link
"4 BHK Apartment In Gaur Yamuna City Krishn Vilas, Yamuna Expressway for Rent  In 16th Park View","Gaur Yamuna City Krishn Vilas, Yamuna Expressway",47000,1950,Fully Furnished,4 BHK,"Family, Company",https://www.nobroker.in/property/4-bhk-apartment-for-rent-in-16th-park-view-greater_noida-for-rs-47000/8aa988569c1d9ee4019c1ecb38dd0992/detail
4 BHK Flat In  Awho Gurjinder Vihar for Rent  In Awho Phase Iii,,25000,2250,Fully Furnished,4 BHK,Family,https://www.nobroker.in/property/4-bhk-apartment-for-rent-in-awho-phase-iii-greater_noida-for-rs-25000/8a9f8a439000f6e10190012166e6101f/detail
2 BHK Flat In 14th Avenue for Rent  In 14th Avenue,,35000,1100,Fully Furnished,2 BHK,Family,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-14th-avenue-greater_noida-for-rs-35000/8aa9a9409c0dedd8019c0e02fc310674/detail
3 BHK Flat In Fusion Homes for Rent  In  Noida Extension,,28000,1430,Fully Furnished,3 BHK,Family,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in--noida-extension-noida-for-rs-28000/8a9f8b03932531a80193258f299621e4/detail
3 BHK Apartment In Arihant Arden for Rent  In Sector 1,Arihant Arden,31500,1375,Fully Furnished,3 BHK,Family,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-sector-1-greater_noida-for-rs-31500/8a9f82229c19bb47019c1bcf0eb82343/detail
2 BHK Apartment In Vvip Homes for Rent  In Sector 16c,VVIP Homes,30000,1190,Fully Furnished,2 BHK,Family,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-sector-16c-greater_noida-for-rs-30000/8aa9b6ac9c2729c8019c2765c3b01b5b/detail
3 BHK Apartment In Mahagun Mywoods  for Rent  In Sector 16c,Mahagun Mywoods,35000,1235,Fully Furnished,3 BHK,Family,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-sector-16c-noida-for-rs-35000/8a9f915976043a7d01760448ef2a0394/detail
"2 BHK Flat In Golf Homes & Kingswood  for Rent  In Sector 4,",,25000,945,Fully Furnished,2 BHK,Family,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-sector-4--noida-for-rs-25000/8a9f91e29b2efc0b019b2f3b80fd0374/detail
1 BHK Flat In Janta Flats for Rent  In Zeta I,,10000,322,Fully Furnished,1 BHK,Family,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-zeta-i-greater_noida-for-rs-10000/8a9f8e8499996fb8019999b793d019c1/detail
3 BHK Flat In H Tower for Rent  In Gaur Yamuna City,,25000,1200,Fully Furnished,3 BHK,Family,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-gaur-yamuna-city-greater_noida-for-rs-25000/8aa9b3db9c1727c9019c180ddae856e0/detail
2 BHK Apartment In Panchsheel Hynish for Rent  In Sector 1,Panchsheel Hynish,28000,909,Fully Furnished,2 BHK,Family,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-sector-1--noida-for-rs-28000/8aa988a59c028df9019c033d95073a53/detail
3 BHK Flat In Exotica Dreamville for Rent  In Noida Extension,,38000,1705,Fully Furnished,3 BHK,Family,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-noida-extension-noida-for-rs-38000/8a9fa18694dfb4710194e42cbe056b96/detail
2 BHK Flat In  Ace City for Rent  In Ace City Noida Extension,,35000,1180,Fully Furnished,2 BHK,Family,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-ace-city-noida-extension-noida-for-rs-35000/8a9f9682793065a3017930a87da018bb/detail
2 BHK Apartment In Ace Platinum for Rent  In Zeta I,ACE Platinum,25000,1050,Fully Furnished,2 BHK,Family,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-zeta-i-noida-for-rs-25000/8a9fb98495b41b7e0195b449fbf40b82/detail
3 BHK Flat In Amrapali Golf Homes & Kingswood Park for Rent  In Sector 4,,22000,1400,Fully Furnished,3 BHK,Family,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-sector-4-noida-for-rs-22000/8a9f82829c1201d8019c1233654805fb/detail
3 BHK Apartment In Amrapali Kingswood for Rent  In Sector 4,Amrapali Kingswood,50000,1595,Fully Furnished,3 BHK,Family,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-sector-4-greater_noida-for-rs-50000/8aa9b2569c0dedf6019c0ea0221c523f/detail
2 BHK Apartment In Celestial Palace for Rent  In Sector Pi-1,Celestial Palace,23000,1050,Fully Furnished,2 BHK,Family,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-sector-pi-1-greater_noida-for-rs-23000/8a9fa5827c1b1f84017c1d02ddcd728e/detail
2 BHK Apartment In Mahagun Mantra 1 for Rent  In Mahagun Mantra 1,Mahagun Mantra 1,20000,1025,Fully Furnished,2 BHK,Family,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-mahagun-mantra-1-greater_noida-for-rs-20000/8aa9ab7b9bfd677d019bfdbd86e1150f/detail
3 BHK Apartment In 16th Avenue for Rent  In Sector 16c,16th Avenue,28000,1600,Fully Furnished,3 BHK,Family,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-sector-16c-greater_noida-for-rs-28000/8a9f85839169e0fa01916a4b517c2b1f/detail
2 BHK Flat In 16th Avenue for Rent  In Chipyana Khurd Urf Tigri,,27000,1010,Fully Furnished,2 BHK,Family,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-chipyana-khurd-urf-tigri-noida-for-rs-27000/8a9f82a29bf42e60019bf5033e3d320e/detail
2 BHK Apartment In Shri Radha Sky Gardens  for Rent  In Sector 16b,Shri Radha Sky Gardens,28000,1500,Fully Furnished,2 BHK,Family,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-sector-16b-noida-for-rs-28000/8aa999469c08c7d1019c09bb8aff6985/detail
3 BHK Apartment In Uppal Plumeria Garden Estate for Rent  In Omicron Iii,Uppal Plumeria Garden Estate,20000,1800,Fully Furnished,3 BHK,Family,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-omicron-iii-noida-for-rs-20000/8a9f9e8376c40a240176c77db101470b/detail
1 BHK Flat In 14th Avenue Gaur City 2 for Rent  In  Gaur City 2,,26000,565,Fully Furnished,1 BHK,Family,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in--gaur-city-2-noida-for-rs-26000/8a9f91a29bea2690019beac575d01d36/detail
1 RK Apartment In Palm Olympia for Rent  In Sector  16,Palm Olympia,45000,150,Fully Furnished,1 RK,Family,https://www.nobroker.in/property/1-rk-apartment-for-rent-in-sector--16-noida-for-rs-45000/8aa99c189c2729c7019c2738a4f00571/detail
2 BHK Apartment In Amaatra Homes for Rent  In Knowledge Park Iv,Amaatra Homes,35000,1100,Fully Furnished,2 BHK,Family,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-knowledge-park-iv-greater_noida-for-rs-35000/8aa9b9b49c22bc86019c233b649a3763/detail
2 BHK Apartment In Nirala Greenshire for Rent  In Sector 2,Nirala Greenshire,20000,950,Fully Furnished,2 BHK,Family,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-sector-2-greater_noida-for-rs-20000/8a9fdb8282fd62930182fdf954c66729/detail
2 BHK Apartment In Ajnara Homes for Rent  In Sector 121,Ajnara Homes,25000,850,Fully Furnished,2 BHK,Family,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-sector-121-noida-for-rs-25000/8a9f8fc39231dd58019231f3dcc90604/detail
2 BHK Flat In The Grand Estate Society for Rent  In Jalpura,,22000,1150,Fully Furnished,2 BHK,Family,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-jalpura-greater_noida-for-rs-22000/8aa9b5329c029202019c02fcc0541d34/detail
3 BHK Apartment In Arihant Arden for Rent  In Sector 1,Arihant Arden,29000,1090,Fully Furnished,3 BHK,Family,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-sector-1-greater_noida-for-rs-29000/8a9f9c828616472a0186169f6cfa3efe/detail
2 BHK Flat In Supertech Ecovillage 2 for Rent  In Sector 16b,,27000,890,Fully Furnished,2 BHK,Family,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-sector-16b-greater_noida-for-rs-27000/8aa9b7159ad2b707019ad3085d6713a2/detail
2 BHK Apartment In Shivalik Homes for Rent  In Surajpur,Shivalik Homes,18000,1285,Fully Furnished,2 BHK,Family,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-surajpur-greater_noida-for-rs-18000/8aa997369bfe7a84019bff31a5ad4ebb/detail
2 BHK Apartment In Vvip Homes for Rent  In Sector-16c,Vvip Homes,30000,1190,Fully Furnished,2 BHK,Family,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-sector-16c-greater_noida-for-rs-30000/8a9fad838c5bcdd0018c5ca2d8a2653f/detail
"2 BHK Flat In Casa Greens 1 for Rent  In  Sector 16,",,25000,1050,Fully Furnished,2 BHK,Family,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in--sector-16--noida-for-rs-25000/8a9f82c29bfd6831019bfde194a80ff5/detail
"2 BHK Flat In Amrapali O2 Valley for Rent  In A9, Block A, Industrial Area, Surajpur Site 4, Greater Noida, Uttar Pradesh 201310, India",,18500,885,Fully Furnished,2 BHK,Family,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-a9-block-a-industrial-area-surajpur-site-4-greater-noida-uttar-pradesh-201310-india-greater_noida-for-rs-18500/8a9fb8849656c1a40196570f42a4233c/detail
2 BHK Flat In Ecotech for Rent  In Bhangel,,30000,1195,Fully Furnished,2 BHK,Family,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-bhangel-greater_noida-for-rs-30000/8a9f8c849725274101972560ea8b1bc0/detail
2 BHK Apartment In Panchsheel Hynish for Rent  In Sector 1,Panchsheel Hynish,29996,1197,Fully Furnished,2 BHK,Family,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-sector-1-noida-for-rs-29996/8a9fb283945b0af701945b276e17069d/detail
"2 BHK Apartment In Celestial Palace, Greater Noida for Rent  In Sector Pi-1","Celestial Palace, Greater Noida",22000,1050,Fully Furnished,2 BHK,Family,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-sector-pi-1-greater_noida-for-rs-22000/8a9f85827e2d8edf017e2dbba8570d7e/detail
2 BHK Apartment In Nirala Estate  for Rent  In Tech Zone Iv,Nirala Estate,23000,955,Fully Furnished,2 BHK,Family,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-tech-zone-iv-noida-for-rs-23000/8a9fa783944e991b01944f158b512f3a/detail
3 BHK Flat In Ats Dolce for Rent  In Zeta I,,42000,2315,Fully Furnished,3 BHK,"Family, Company",https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-zeta-i-noida-for-rs-42000/8a9f8843915e4a7a01915e879b550e27/detail
"2 BHK Apartment In Ska Greenarch, Sector 63 for Rent  In Sector 63","SKA Greenarch, Sector 63",30000,1000,Fully Furnished,2 BHK,Family,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-sector-63-noida-for-rs-30000/8aa9b8589beb614d019bebbce8d812e3/detail
"3 BHK Flat In Home&soul Beetle Lap for Rent  In Sector 25,bela Khurd",,15000,1705,Fully Furnished,3 BHK,Family,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-sector-25-bela-khurd-greater_noida-for-rs-15000/8a9fa38280ac99b90180ad812b9c29c0/detail
2 BHK Apartment In Ajnara Homes for Rent  In Sector 121,Ajnara Homes,30000,1090,Fully Furnished,2 BHK,Family,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-sector-121-noida-for-rs-30000/8a9f8a20729dcaa40172a0b72f2b2821/detail
1 RK Flat In Apartment for Rent  In Surajpur Site V,,4000,300,Fully Furnished,1 RK,Family,https://www.nobroker.in/property/1-rk-apartment-for-rent-in-surajpur-site-v-greater_noida-for-rs-4000/8aa9bdc29a9ca46b019a9cbdaddc0659/detail
2 BHK Flat In Golf Homes & Kingswood for Rent  In Noida,,23000,945,Fully Furnished,2 BHK,Family,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-noida-noida-for-rs-23000/8a9f82a29bd1a25a019bd21cc0b91057/detail
"3 BHK Apartment In Twin Celestial for Rent  In Jalalpur,",Twin Celestial,16000,1500,Fully Furnished,3 BHK,Family,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-jalalpur--noida-for-rs-16000/8a9f93039228da540192291e96da1584/detail
3 BHK Apartment In Proview Technocity Apartments for Rent  In Chi V,Proview Technocity Apartments,30000,1201,Fully Furnished,3 BHK,Family,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-chi-v-greater_noida-for-rs-30000/8a9f878497ce3ddb0197ce985e0c1553/detail
3 BHK Apartment In Stellar Jeevan for Rent  In Stellar Jeevan,Stellar jeevan,25000,1200,Fully Furnished,3 BHK,Family,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-stellar-jeevan-greater_noida-for-rs-25000/8aa994669bd56468019bd671128276df/detail
3 BHK Apartment In Officer City 1a for Rent  In Bhangel,Officer City 1A,16000,1341,Fully Furnished,3 BHK,Family,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-bhangel-noida-for-rs-16000/8a9fb3fd7e6256cd017e626b3c280805/detail
3 BHK Flat In Amarapali Leisure Park for Rent  In Amrapali Leisure Park,,20000,1225,Fully Furnished,3 BHK,Family,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-amrapali-leisure-park-noida-for-rs-20000/8a9f82a29bc755ae019bc76f04c10382/detail
2 BHK Apartment In Panchsheel Greens for Rent  In Sector 16b,Panchsheel Greens,25000,1000,Fully Furnished,2 BHK,Family,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-sector-16b-greater_noida-for-rs-25000/8a9f8e438fa58e42018fa5afe0ba0dde/detail
3 BHK Apartment In Mahagun Mantra Ii for Rent  In Sector 10,Mahagun Mantra Ii,28000,1125,Fully Furnished,3 BHK,Family,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-sector-10-greater_noida-for-rs-28000/8a9f8fc393d48ae10193d4a644030880/detail
2 BHK Apartment In Lotus Welfare Society for Rent  In Omicron Iii,LOTUS WELFARE SOCIETY,18000,1000,Fully Furnished,2 BHK,Family,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-omicron-iii-greater_noida-for-rs-18000/8a9fa8839a0abb85019a0b1266d31fcd/detail
2 BHK Apartment In Pigeon Spring Meadows for Rent  In Patwari,Pigeon Spring Meadows,25000,990,Fully Furnished,2 BHK,Family,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-patwari--greater_noida-for-rs-25000/8a9f8a839564b046019564c9d589096f/detail
3 BHK Flat In Emotipon  for Rent  In Bisrakh Jalalpur,,35000,1710,Fully Furnished,3 BHK,Family,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-bisrakh-jalalpur-greater_noida-for-rs-35000/8aa9a34f9bd95b0e019bd9f217902f39/detail
2 BHK Flat In Vertical Limits Beetle Lap for Rent  In Yamuna Expressway,,15000,1185,Fully Furnished,2 BHK,Family,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-yamuna-expressway-greater_noida-for-rs-15000/8a9fb384943f3d9e01943f4503b30183/detail
"3 BHK Flat In Amrapali Centurion Park Terrace Homes for Rent  In  Amrapali Dream Valley,",,50000,1400,Fully Furnished,3 BHK,Family,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in--amrapali-dream-valley--greater_noida-for-rs-50000/8aa9b2bf9ab0624e019ab0863c260f13/detail
2 BHK Apartment In Harsh Complex for Rent  In Knowledge Park I,harsh complex,32000,900,Fully Furnished,2 BHK,Family,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-knowledge-park-i-greater_noida-for-rs-32000/8aa9a2859bcafaf0019bcbf365c1749e/detail
2 BHK Flat In Apartment for Rent  In Sector 17 A,,20000,1200,Fully Furnished,2 BHK,Family,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-sector-17-a-greater_noida-for-rs-20000/8aa9b9cf9bd0210f019bd11a08847c52/detail
2 BHK Flat In Onyx County for Rent  In Sector 1,,12000,1050,Fully Furnished,2 BHK,Family,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-sector-1-noida-for-rs-12000/8a9faa838b7a7faf018b7b084e1e58f0/detail
"3 BHK Apartment In Ratan Pearls, Roza Yakubpur for Rent  In Roza Yakubpur","Ratan Pearls, Roza Yakubpur",35000,1370,Fully Furnished,3 BHK,Family,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-roza-yakubpur-greater_noida-for-rs-35000/8a9fa28399d961720199d97de72e06a3/detail
2 BHK Apartment In Golf Homes  for Rent  In Sector 4,golf homes,34999,1100,Fully Furnished,2 BHK,Family,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-sector-4-ghaziabad-for-rs-34999/8a9f99ef90d3abcd0190d3bc867a0603/detail
2 BHK Apartment In Aig Royal for Rent  In Aimnabad,Aig Royal,30000,1295,Fully Furnished,2 BHK,Family,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-aimnabad-greater_noida-for-rs-30000/8aa996149bc5f709019bc6628f5e2c84/detail
2 BHK Flat In Standalone Building  for Rent  In Pari Chowk,,25000,1170,Fully Furnished,2 BHK,"Family, Company",https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-pari-chowk-greater_noida-for-rs-25000/8a9f8b8a7052cb5e017052ccbd5f0097/detail
2 BHK Flat In Greater Noida W  14th Ave for Rent  In Gaur City 2,,27000,955,Fully Furnished,2 BHK,Family,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-gaur-city-2-greater_noida-for-rs-27000/8a9fbe839532804b019532a830f60f49/detail
3 BHK Flat In Ats Allure for Rent  In Sector 22d,,35000,1350,Fully Furnished,3 BHK,Family,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-sector-22d-greater_noida-for-rs-35000/8a9fb28393fbc5570193fc1b065c10bc/detail
"3 BHK Apartment In Arihant Arden, Noida Extension for Rent  In Arihant Arden Greater Noida West","Arihant Arden, Noida extension",31500,1375,Fully Furnished,3 BHK,Family,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-arihant-arden-greater-noida-west-noida-for-rs-31500/8aa9bc729ba86e7c019baa3a8a215493/detail
3 BHK Flat In Nirala Estate for Rent  In Techzone 4,,40000,1440,Fully Furnished,3 BHK,Family,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-techzone-4-greater_noida-for-rs-40000/8a9f82829ba6eefb019ba7bfc8393afe/detail
4+ BHK Apartment In  Silver Oaks  for Rent  In Judge Society,Silver Oaks,150000,8000,Fully Furnished,4+ BHK,Family,https://www.nobroker.in/property/4%2b-bhk-apartment-for-rent-in-judge-society-greater_noida-for-rs-150000/8a9f8e4392f7b3f00192f7e9478c0db3/detail
3 BHK Apartment In Ajnara Le Garden Phase 2 for Rent  In Sector 16,Ajnara Le Garden Phase 2,28000,1285,Fully Furnished,3 BHK,Family,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-sector-16-greater_noida-for-rs-28000/8a9f8ac38d96f741018d97571a195fe9/detail
2 BHK Flat In Saviour Greenarch Noida Extension for Rent  In Amrapali Dream Valley,,25000,860,Fully Furnished,2 BHK,Family,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-amrapali-dream-valley-greater_noida-for-rs-25000/8aa993019bb13abb019bb250eff97592/detail
3 BHK Apartment In Ska Greenarch for Rent  In Sector 16b,SKA greenarch,40000,1220,Fully Furnished,3 BHK,Family,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-sector-16b-noida-for-rs-40000/8a9f948497abe8da0197ac1f590818bd/detail
3 BHK Flat In Antriksh Golf Links for Rent  In Sector 1,,40000,1260,Fully Furnished,3 BHK,Family,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-sector-1-greater_noida-for-rs-40000/8aa9a3ea9bb1ba2c019bb1f0fa371875/detail
2 BHK Flat In Standalone Building  for Rent  In Alpha Ii,,21000,600,Fully Furnished,2 BHK,Family,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-alpha-ii-greater_noida-for-rs-21000/8a9f8ba96f5627d3016f5688d2f0126e/detail
3 BHK Flat In Galaxy North Ave 2 for Rent  In Gaur Ciity,,30000,1350,Fully Furnished,3 BHK,Family,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-gaur-ciity-noida-for-rs-30000/8aa9a3ea9bb13b00019bb1631b320f5d/detail
2 BHK Apartment In Gaur City for Rent  In Sector-4,Gaur City,30000,1050,Fully Furnished,2 BHK,Family,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-sector-4-greater_noida-for-rs-30000/8a02ec466ef4884d016eff0814a821fb/detail
1 BHK Apartment In Oasis Grandstand for Rent  In Yamuna Expressway,Oasis Grandstand,15000,790,Fully Furnished,1 BHK,Family,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-yamuna-expressway-greater_noida-for-rs-15000/8aa98d509ba1c7df019ba3234b611360/detail
2 BHK Apartment In Paramount Emotions for Rent  In Bisrakh Jalalpur,Paramount Emotions,25000,1075,Fully Furnished,2 BHK,Family,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-bisrakh-jalalpur-greater_noida-for-rs-25000/8a9f8b839392a0de019392f7f8650f5b/detail
2 BHK Flat In Golf Homes & Kingswood for Rent  In Noida,,22000,1100,Fully Furnished,2 BHK,Family,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-noida-noida-for-rs-22000/8a9f82e29b9255b0019b932de51d34d6/detail
2 BHK Apartment In Ats Dolce for Rent  In Zeta 1,ATS Dolce,30000,1260,Fully Furnished,2 BHK,Family,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-zeta-1-greater_noida-for-rs-30000/8a9f936173fc4d820173fc82cbc618b0/detail
2 BHK Apartment In Galaxy Vega for Rent  In  Ithaira,GALAXY VEGA,25000,1000,Fully Furnished,2 BHK,Family,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in--ithaira-noida-for-rs-25000/8aa999a59aac17ac019aac8171e01e84/detail
1 BHK Apartment In Golden I for Rent  In Tech Zone Iv,GOLDEN I,25000,610,Fully Furnished,1 BHK,Family,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-tech-zone-iv-greater_noida-for-rs-25000/8a9f9b85975d6d0601975d89b1630a61/detail
3 BHK Apartment In Unitech Horizon for Rent  In Pi I And Ii,Unitech Horizon,45000,1500,Fully Furnished,3 BHK,Family,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-pi-i-and-ii-greater_noida-for-rs-45000/8a9f878b98a16f670198a1dad0df1cce/detail
3 BHK Flat In Ajnara Le Garden Prime Tower for Rent  In Sector 16,,26000,1285,Fully Furnished,3 BHK,Family,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-sector-16-greater_noida-for-rs-26000/8a9f8c838de5c47f018de5fde9402632/detail
"2 BHK Apartment In Earthcon Casa Grande , Chi 5, Greater Noida for Rent  In Chi Ii","Earthcon Casa Grande , Chi 5, Greater Noida",35000,1260,Fully Furnished,2 BHK,Family,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-chi-ii-greater_noida-for-rs-35000/8aa98f6599605b52019960669f0e01ca/detail
3 BHK Apartment In  Eco Village 2 for Rent  In Eco Village 2,eco village 2,22000,1110,Fully Furnished,3 BHK,Family,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-eco-village-2-greater_noida-for-rs-22000/8a9f9c83945953d10194599635a41ca6/detail
"2 BHK Flat In Supertech Eco Village, Sector 1, Greater Noida West for Rent  In Supertech Eco Village-1, Sector 1, Bisrakh Jalalpur, Greater Noida, Uttar Pradesh, India",,24000,851,Fully Furnished,2 BHK,Family,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-supertech-eco-village-1-sector-1-bisrakh-jalalpur-greater-noida-uttar-pradesh-india-noida-for-rs-24000/8aa9bbca9b914211019b91e4217a3583/detail
2 BHK Apartment In Himalaya Pride for Rent  In Tech Zone Iv,Himalaya Pride,21000,1000,Fully Furnished,2 BHK,Family,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-tech-zone-iv-greater_noida-for-rs-21000/8a9f82829b8808f6019b88f9b4ce457b/detail
3 BHK Apartment In Spring Meadows for Rent  In Patwari,Spring Meadows,30000,1175,Fully Furnished,3 BHK,Family,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-patwari-noida-for-rs-30000/8a9f88038ecbf906018ecc29bda819c6/detail
2 BHK Flat for Rent  In Sector 3,,35000,896,Fully Furnished,2 BHK,Family,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-sector-3-greater_noida-for-rs-35000/8a9f8c708e560b52018e56296c6410ff/detail
1 BHK Flat for Rent  In Yamuna Expressway,,4000,375,Fully Furnished,1 BHK,Family,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-yamuna-expressway-greater_noida-for-rs-4000/8a9f04838a511874018a5152c2a51848/detail
"3 BHK Flat In Nirala Aspire Phase I for Rent  In Noida Extension, Noida",,40000,1365,Fully Furnished,3 BHK,Family,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-noida-extension-noida-noida-for-rs-40000/8a9f91e29b914294019b920322f72567/detail
2 BHK Flat In Supertech Eco Village 3 for Rent  In Bhangel,,25500,1100,Fully Furnished,2 BHK,Family,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-bhangel-noida-for-rs-25500/8a9f82e29b81d01d019b82839cd126de/detail
4+ BHK Apartment In Purvanchal Silver City 2 for Rent  In Sector Pi2,Purvanchal Silver City 2,60000,2950,Fully Furnished,4+ BHK,Family,https://www.nobroker.in/property/4%2b-bhk-apartment-for-rent-in-sector-pi2-greater_noida-for-rs-60000/8aa9b33c9b8c1bbd019b8d02e0b95a1e/detail
3 BHK Flat In Ats Allure Yamuna Expressway for Rent  In Ats Allure,,25000,900,Fully Furnished,3 BHK,Family,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-ats-allure-greater_noida-for-rs-25000/8aa98d349b88082a019b888d69d4484d/detail
2 BHK Flat for Rent  In Yamuna Expressway,,7000,500,Fully Furnished,2 BHK,Family,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-yamuna-expressway--greater_noida-for-rs-7000/8aa9b4769b7ca8c0019b7d1661cb1d42/detail
3 BHK Apartment In Swarn Apartments for Rent  In Pi I & Ii,Swarn Apartments,30000,1350,Fully Furnished,3 BHK,Family,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-pi-i-%26-ii-greater_noida-for-rs-30000/8a9f8d849699addb01969a1dd7423ab1/detail
3 BHK Flat In Gr Grand Residency for Rent  In Jp Nagar,,85000,3250,Fully Furnished,3 BHK,Family,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-jp-nagar-bangalore-for-rs-85000/8a9fae859690461a019690a57b8d2653/detail
2 BHK Apartment In Nirala Estate for Rent  In Nirala Estate,Nirala Estate,9500,954,,2 BHK,All,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-nirala-estate-greater_noida-for-rs-9500/8a9f931b759805d10175983c2b621c06/detail
1 RK Apartment In Horizon Society for Rent  In Unitech City,horizon society,6000,180,,1 RK,All,https://www.nobroker.in/property/1-rk-apartment-for-rent-in-unitech-city-greater_noida-for-rs-6000/8a9f8e4393b563fa0193b5993c5a12d5/detail
2 BHK Apartment In Supertech Eco Village for Rent  In Sector-1,Supertech Eco Village,14000,1000,,2 BHK,All,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-sector-1-noida-for-rs-14000/8a9f8b83729dcc1c01729e1b4aae200e/detail
