full_title,society_name,rent,area_sqft,apartment_type,preferred_tenants,link,Locality
2 BHK Apartment In Migsun Vilaasa Walk for Rent  In Gn Sector Eta Ii,Migsun Vilaasa Walk,24000,860,2,All,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-gn-sector-eta-ii-greater_noida-for-rs-24000/8a9f8b438d0ae606018d0af0233400bf/detail,Eta Ii
3 BHK Apartment In Panchsheel Greens 2 for Rent  In Sector 16b,Panchsheel Greens 2,20000,1510,3,"Family, Female",https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-sector-16b--greater_noida-for-rs-20000/8a9f8ec38e3db8aa018e3e1066af250a/detail,Sector 16b
"3 BHK Apartment In Amrapali Smart City, Sector 2 for Rent  In Sector 2","Amrapali Smart City, Sector 2",22500,1425,3,"Family, Female, Company",https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-sector-2-greater_noida-for-rs-22500/8aa9b1a89c5a87e3019c5ab5e2a412b8/detail,Sector 2
"2 BHK Apartment In Amprapali Leisure Park for Rent  In F1 Amrapali Leisure Park, Noida Extension",Amprapali Leisure park,18000,845,2,"Family, Female",https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-f1-amrapali-leisure-park-noida-extension-noida-for-rs-18000/8a9f8b038cf64c7c018cf74014867ddf/detail,Noida Extension
3 BHK Apartment In Himalaya Pride for Rent  In Tech Zone Iv,Himalaya Pride,25000,1150,3,"Family, Female",https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-tech-zone-iv-greater_noida-for-rs-25000/8a9faa89988d37be01988d508f2308a5/detail,Tech Zone Iv
2 BHK Apartment In Ats Allure Yamuna Expressway for Rent  In Sector 22d,ATS Allure Yamuna Expressway,18000,1150,2,"Family, Female",https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-sector-22d-greater_noida-for-rs-18000/8a9fb8908778234f0187786ffc4c0b44/detail,Sector 22d
"4 BHK Apartment In Dev Sai - Sportshome for Rent  In  Noida Extension, Greater Noida",Dev Sai - Sportshome,35000,1985,4,"Family, Female, Company",https://www.nobroker.in/property/4-bhk-apartment-for-rent-in--noida-extension-greater-noida-greater_noida-for-rs-35000/8a9fa9849502f1480195034fa05f24f1/detail,Noida Extension
3 BHK Apartment In Trident Embassy for Rent  In Sector 1,Trident Embassy,28500,1350,3,All,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-sector-1-greater_noida-for-rs-28500/8aa9b1509ad0ffc1019ad110d5e00119/detail,Sector 1
2 BHK Apartment In Ajnara Legarden for Rent  In Sector 16b,ajnara leGarden,19500,995,2,"Family, Bachelor",https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-sector-16b-greater_noida-for-rs-19500/8a9f9e8277951038017795b243b84f0c/detail,Sector 16b
2 BHK Apartment In Amrapali Tropical Garden for Rent  In Tech Zone Iv,Amrapali Tropical Garden,23000,885,2,All,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-tech-zone-iv-greater_noida-for-rs-23000/8aa9b9b19c5faed6019c5fbaf24403a2/detail,Tech Zone Iv
2 BHK Apartment In Gaur Galaxy North Avenue 2  for Rent  In Sector 16,Gaur Galaxy North Avenue 2,27000,925,2,All,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-sector-16-noida-for-rs-27000/8a9f8585993e80f901993ea6d8b107b0/detail,Sector 16
3 BHK Apartment In Proview Technocity Apartments for Rent  In Chi V,Proview Technocity Apartments,35000,1300,3,All,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-chi-v-greater_noida-for-rs-35000/8a9f8e039067f59901906859d1c72bc5/detail,Chi V
3 BHK Apartment In Ajnara Homes for Rent  In Sector 121,Ajnara Homes,35000,1385,3,All,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-sector-121-noida-for-rs-35000/8a9faf83941b193c01941b6ed3561e23/detail,Sector 121
1 BHK Apartment In Cassia Estate for Rent  In Pi I & Ii,Cassia Estate,10500,431,1,All,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-pi-i-%26-ii-greater_noida-for-rs-10500/8a9f85c393a5f0bc0193a6245dc4138f/detail,Pi I
